Company,SKU,TYPE,Therapeutic Tag,OPEN_QTY,OPEN_VALUE,purchase value,RECIEPT _QTY,RECIEPT_VALUE,ISSUE_QTY,ISSUE_VALUE,CLOSING_QTY,CLOSING_VALUE,DUMP_QTY,Revenue
SVIZERA,MACBERY JUNIOR,60 ML,Vitamin,13,800.48,19258.4175,373,20539.74,385,25677.89,1,61.58,0,6419.47
SVIZERA,ZERODOL-P,10*10,NSAID,510,1530.00,17649.2475,4830,15106.26,5094,23532.33,246,738.00,0,5883.08
SVIZERA,BROZEET LS SYRUP,100 ML,Bronchodilator,23,2227.72,13201.5225,177,15285.22,189,17602.03,11,1065.43,0,4400.51
SVIZERA,SPIROMONT-B TAB,1*10,Bronchodilator,130,1196.00,9130.2525,1190,7951.89,1253,12173.67,67,616.40,0,3043.42
SVIZERA,FLEZONAC SP TAB,1*10,NSAID,172,944.28,8418.195,1420,7806.72,1414,11224.26,178,977.22,0,2806.07
SVIZERA,PENTALOC DSR,20*10,Antacid,326,603.10,7648.98,1800,2973.69,1721,10198.64,405,749.25,0,2549.66
SVIZERA,PENTALOC DSR,20*10,Antacid,326,603.10,7648.98,1800,2973.69,1721,10198.64,405,749.25,0,2549.66
SVIZERA,1-AL,10*10,Antacid,519,1396.11,6834.99,2850,6882.13,2710,9113.32,659,1772.71,0,2278.33
SVIZERA,CHIROF SF,100 ML,Antibiotic,-4,-329.28,6705.27,116,8592.00,107,8940.36,5,411.60,0,2235.09
SVIZERA,HATRIC SYRUP,30 ML,Antihistamine,9,359.62,6577.0125,224,8009.09,212,8769.35,21,839.12,0,2192.34
SVIZERA,SRS 5 ML,1*100,Saline,140954,218478.70,6544.56,2400,3321.90,1789,8726.08,141565,219425.75107797,0,2181.52
SVIZERA,MICROPIME-T INJ.,250 MG,Antibiotic,39,2267.81,6397.815,112,5097.80,135,8530.42,16,930.38,0,2132.61
SVIZERA,CLONAFIT-BETA,6*10,Antiepileptic,168,840.00,6009.615,1200,5424.49,1312,8012.82,56,280.00,0,2003.21
SVIZERA,DAROLAC- SACH,2 GM,Probiotic,10461,13494.69,4964.955,4650,5866.01,511,6619.94,14600,18834.00,5288,1654.99
SVIZERA,ZIPOD 100 DT,10*10,Antibiotic,60,619.20,4845.105,500,4524.56,555,6460.14,5,51.60,0,1615.04
SVIZERA,LECOPE-AD,6*10,Antihistamine,291,1926.42,4402.4325,790,4513.21,865,5869.91,216,1429.92,0,1467.48
SVIZERA,ECONORM SACHET,10*2,Probiotic,19,952.93,3314.295,130,4482.40,104,4419.06,45,2256.93,0,1104.77
SVIZERA,PULMOCEF-500 MG,5*10,Antibiotic,44,1514.04,3223.4775,60,1841.90,88,4297.97,16,550.56,0,1074.49
SVIZERA,PULMOCEF-500 MG,5*10,Antibiotic,44,1514.04,3223.4775,60,1841.90,88,4297.97,16,550.56,0,1074.49
SVIZERA,DROTIKIND-M,1*10,Antispasmodic,120,878.40,3178.65,600,3796.10,494,4238.20,226,1654.32,0,1059.55
SVIZERA,AL-D3 DROP,30 ML,Vitamin,13,632.52,3166.815,56,2432.76,62,4222.42,7,340.59,0,1055.61
